Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
1993-01-29 00:00:00-05:00,24.130406707991575,24.130406707991575,24.01035493332495,24.113256454467773,1003200,0.0,0.0,0.0
1993-02-01 00:00:00-05:00,24.130401550713234,24.284753799438477,24.130401550713234,24.284753799438477,480500,0.0,0.0,0.0
1993-02-02 00:00:00-05:00,24.267607333376173,24.35335859603828,24.21615657577891,24.33620834350586,201300,0.0,0.0,0.0
1993-02-03 00:00:00-05:00,24.37051059877191,24.61061415146917,24.35336034500782,24.593463897705078,529400,0.0,0.0,0.0
1993-02-04 00:00:00-05:00,24.679213196701475,24.7478142062823,24.40480915837818,24.69636344909668,531500,0.0,0.0,0.0
1993-02-05 00:00:00-05:00,24.679206848144535,24.7306575920948,24.542004864277157,24.67920684814453,492100,0.0,0.0,0.0
1993-02-08 00:00:00-05:00,24.679206848144535,24.764958088061643,24.64490635217769,24.67920684814453,596100,0.0,0.0,0.0
1993-02-09 00:00:00-05:00,24.59347798725873,24.59347798725873,24.4562758785432,24.507726669311523,122100,0.0,0.0,0.0
1993-02-10 00:00:00-05:00,24.50772218417655,24.559172965528916,24.439121142373395,24.542022705078125,379600,0.0,0.0,0.0
1993-02-11 00:00:00-05:00,24.576306632231603,24.764959369813283,24.576306632231603,24.662057876586914,19500,0.0,0.0,0.0
1993-02-12 00:00:00-05:00,24.62776959852982,24.62776959852982,24.473417282104492,24.473417282104492,42500,0.0,0.0,0.0
1993-02-16 00:00:00-05:00,24.404820680104084,24.404820680104084,23.82171182337637,23.85601234436035,374800,0.0,0.0,0.0
1993-02-17 00:00:00-05:00,23.855996455734584,23.89029695387367,23.753094961317323,23.83884620666504,210900,0.0,0.0,0.0
1993-02-18 00:00:00-05:00,24.11326113838871,24.11326113838871,23.49585189160209,23.821706771850586,378100,0.0,0.0,0.0
1993-02-19 00:00:00-05:00,23.821700368413282,23.907451629638672,23.787399863923124,23.907451629638672,34900,0.0,0.0,0.0
1993-02-22 00:00:00-05:00,23.976063393626237,24.02751417344089,23.907462353873374,23.993213653564453,513600,0.0,0.0,0.0
1993-02-23 00:00:00-05:00,24.061808329624508,24.07895858502695,23.85600526479522,23.976057052612305,373700,0.0,0.0,0.0
1993-02-24 00:00:00-05:00,23.99319955184635,24.284753799438477,23.99319955184635,24.284753799438477,26300,0.0,0.0,0.0
1993-02-25 00:00:00-05:00,24.267607333376173,24.35335859603828,24.21615657577891,24.33620834350586,44500,0.0,0.0,0.0
1993-02-26 00:00:00-05:00,24.387654628659707,24.387654628659707,24.25045263356176,24.37050437927246,66200,0.0,0.0,0.0
1993-03-01 00:00:00-05:00,24.456256931065333,24.456256931065333,24.267604177740147,24.301904678344727,66500,0.0,0.0,0.0
1993-03-02 00:00:00-05:00,24.319052899165676,24.66205787658691,24.284752401423553,24.662057876586914,182400,0.0,0.0,0.0
1993-03-03 00:00:00-05:00,24.69636785026402,24.782119127521884,24.662067339360878,24.764968872070312,280100,0.0,0.0,0.0
1993-03-04 00:00:00-05:00,24.79926628123419,24.79926628123419,24.627763748168945,24.627763748168945,89500,0.0,0.0,0.0
1993-03-05 00:00:00-05:00,24.66207323394008,24.764974791244423,24.54202141708502,24.559171676635742,40000,0.0,0.0,0.0
1993-03-08 00:00:00-05:00,24.610628795102645,25.10798645019531,24.610628795102645,25.107986450195312,50800,0.0,0.0,0.0
1993-03-09 00:00:00-05:00,25.056526849497008,25.07367710743643,24.970775559799893,25.022226333618164,169300,0.0,0.0,0.0
1993-03-10 00:00:00-05:00,25.022228192696005,25.073678970336914,24.919326637414184,25.073678970336914,194400,0.0,0.0,0.0
1993-03-11 00:00:00-05:00,25.09083057005873,25.159431610578373,24.97077874914936,25.00507926940918,70900,0.0,0.0,0.0
1993-03-12 00:00:00-05:00,24.799278314792687,24.816428576421174,24.593475175250838,24.747827529907227,643600,0.0,0.0,0.0
1993-03-15 00:00:00-05:00,24.730672081256735,24.867874145507812,24.730672081256735,24.867874145507812,310800,0.0,0.0,0.0
1993-03-16 00:00:00-05:00,24.867874145507812,24.93647517763335,24.867874145507812,24.867874145507812,30800,0.0,0.0,0.0
1993-03-17 00:00:00-05:00,24.833562264584735,24.833562264584735,24.679210012940217,24.713510513305664,21800,0.0,0.0,0.0
1993-03-18 00:00:00-05:00,24.81642337141366,24.970775693696122,24.81642337141366,24.867874145507812,59300,0.0,0.0,0.0
1993-03-19 00:00:00-05:00,24.968082627846414,24.968082627846414,24.830232620239258,24.830232620239258,66900,0.213,0.0,0.0
1993-03-22 00:00:00-05:00,24.589001004045357,24.74408229979617,24.571769748961934,24.6923885345459,183400,0.0,0.0,0.0
1993-03-23 00:00:00-05:00,24.761310843040018,24.778542096236286,24.709617083451207,24.74407958984375,55200,0.0,0.0,0.0
1993-03-24 00:00:00-05:00,24.709617083451207,24.84746710902137,24.58899831107732,24.74407958984375,37200,0.0,0.0,0.0
1993-03-25 00:00:00-05:00,24.76130467187162,24.950848409791305,24.72684217406804,24.899154663085938,110100,0.0,0.0,0.0
1993-03-26 00:00:00-05:00,24.881938931671545,24.899170191319516,24.744088854487767,24.761320114135742,101500,0.0,0.0,0.0
1993-03-29 00:00:00-05:00,24.778547846106132,24.985322932443598,24.778547846106132,24.864704132080078,87100,0.0,0.0,0.0
1993-03-30 00:00:00-05:00,24.899161759951895,24.933624267578125,24.86469925232566,24.933624267578125,56000,0.0,0.0,0.0
1993-03-31 00:00:00-05:00,25.002551463959456,25.07147648522468,24.91639518737793,24.91639518737793,111600,0.0,0.0,0.0
1993-04-01 00:00:00-05:00,24.95085137689552,24.95085137689552,24.778538867386573,24.830232620239258,129500,0.0,0.0,0.0
1993-04-02 00:00:00-05:00,24.623461748335394,24.623461748335394,24.31329917907715,24.31329917907715,59400,0.0,0.0,0.0
1993-04-05 00:00:00-04:00,24.502846840238366,24.502846840238366,24.364996787691314,24.433921813964844,172200,0.0,0.0,0.0
1993-04-06 00:00:00-04:00,24.485610914702463,24.485610914702463,24.296067128592874,24.364992141723633,129700,0.0,0.0,0.0
1993-04-07 00:00:00-04:00,24.39944761248018,24.451141357421875,24.347753867538486,24.451141357421875,28000,0.0,0.0,0.0
1993-04-08 00:00:00-04:00,24.554525535545807,24.554525535545807,24.313288091687813,24.416675567626953,180800,0.0,0.0,0.0
1993-04-12 00:00:00-04:00,24.65793255624791,24.778551373783714,24.623470036951964,24.761320114135742,348500,0.0,0.0,0.0
