Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-01-22 00:00:00-05:00,0.0400178609069307,0.044662676096353056,0.03549195726617831,0.037517089396715164,2714688000,0.0,0.0
1999-01-25 00:00:00-05:00,0.04049441209973288,0.04192316330457829,0.037517084945426354,0.04144752398133278,510480000,0.0,0.0
1999-01-26 00:00:00-05:00,0.041923165160366836,0.042757365544332314,0.03763599473849848,0.038231462240219116,343200000,0.0,0.0
1999-01-27 00:00:00-05:00,0.0383503631506773,0.039303474894984855,0.03620632344219623,0.038112543523311615,244368000,0.0,0.0
1999-01-28 00:00:00-05:00,0.03811255923878717,0.03835037896421633,0.03775491473659362,0.03799273446202278,227520000,0.0,0.0
1999-01-29 00:00:00-05:00,0.03799273465401748,0.03811255943138739,0.03620633855462074,0.03620633855462074,244032000,0.0,0.0
1999-02-01 00:00:00-05:00,0.03620633880655907,0.037159447547823944,0.03620633880655907,0.036921627819538116,154704000,0.0,0.0
1999-02-02 00:00:00-05:00,0.03620633971767667,0.037159448482926134,0.03299118851210268,0.03406320884823799,264096000,0.0,0.0
1999-02-03 00:00:00-05:00,0.033586649696450754,0.03525413396098379,0.03334791339035579,0.034777577966451645,75120000,0.0,0.0
1999-02-04 00:00:00-05:00,0.035254126926538114,0.03763598980627515,0.03477757102709573,0.03668288141489029,181920000,0.0,0.0
1999-02-05 00:00:00-05:00,0.03727834853960738,0.03811254888381185,0.03632615327879671,0.037754904478788376,136848000,0.0,0.0
1999-02-08 00:00:00-05:00,0.03799273704318411,0.038112561828089184,0.036445073783397675,0.036445073783397675,154080000,0.0,0.0
1999-02-09 00:00:00-05:00,0.037159452583864556,0.03739727575188256,0.03453885553600799,0.03501541167497635,86976000,0.0,0.0
1999-02-10 00:00:00-05:00,0.03501541295889164,0.03596852186427453,0.03406321385647447,0.034658681601285934,148224000,0.0,0.0
1999-02-11 00:00:00-05:00,0.034777584501659124,0.03906475602275397,0.034777584501659124,0.03763600438833237,132240000,0.0,0.0
1999-02-12 00:00:00-05:00,0.038112562444469374,0.04001787026156094,0.038112562444469374,0.03978005051612854,109728000,0.0,0.0
1999-02-16 00:00:00-05:00,0.040494417881756783,0.04216190560387279,0.035968510724254096,0.04001786187291145,211008000,0.0,0.0
1999-02-17 00:00:00-05:00,0.03906475122544917,0.03954130725101009,0.03715944374092292,0.03787381947040558,67728000,0.0,0.0
1999-02-18 00:00:00-05:00,0.03906475647727857,0.03954131256690726,0.03739727187999979,0.03846929222345352,70704000,0.0,0.0
1999-02-19 00:00:00-05:00,0.038112562444469374,0.0404944263703032,0.03763600633572711,0.03978005051612854,75360000,0.0,0.0
1999-02-22 00:00:00-05:00,0.040494417881756783,0.040970973890602114,0.037873818141950115,0.04001786187291145,205248000,0.0,0.0
1999-02-23 00:00:00-05:00,0.04097098093353278,0.04275737710677078,0.038589117097547934,0.04192317649722099,138096000,0.0,0.0
1999-02-24 00:00:00-05:00,0.04811656924130125,0.050022790070081265,0.04418612922994947,0.04525814950466156,612768000,0.0,0.0
1999-02-25 00:00:00-05:00,0.04716437264394712,0.04859312768086943,0.04311410765982599,0.04382940009236336,149136000,0.0,0.0
