Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-01-03 00:00:00-05:00,87.62999725341797,87.62999725341797,87.62999725341797,87.62999725341797,0,0.0,0.0
2007-01-04 00:00:00-05:00,88.19000244140625,88.19000244140625,88.19000244140625,88.19000244140625,0,0.0,0.0
2007-01-05 00:00:00-05:00,90.16999816894531,90.16999816894531,90.16999816894531,90.16999816894531,0,0.0,0.0
2007-01-08 00:00:00-05:00,92.04000091552734,92.04000091552734,92.04000091552734,92.04000091552734,0,0.0,0.0
2007-01-09 00:00:00-05:00,92.76000213623047,92.76000213623047,92.76000213623047,92.76000213623047,0,0.0,0.0
2007-01-10 00:00:00-05:00,93.77999877929688,93.77999877929688,93.77999877929688,93.77999877929688,0,0.0,0.0
2007-01-11 00:00:00-05:00,85.97000122070312,85.97000122070312,85.97000122070312,85.97000122070312,0,0.0,0.0
2007-01-12 00:00:00-05:00,85.18000030517578,85.18000030517578,85.18000030517578,85.18000030517578,0,0.0,0.0
2007-01-16 00:00:00-05:00,85.30000305175781,85.30000305175781,85.30000305175781,85.30000305175781,0,0.0,0.0
2007-01-17 00:00:00-05:00,84.93000030517578,84.93000030517578,84.93000030517578,84.93000030517578,0,0.0,0.0
2007-01-18 00:00:00-05:00,83.66000366210938,83.66000366210938,83.66000366210938,83.66000366210938,0,0.0,0.0
2007-01-19 00:00:00-05:00,82.48999786376953,82.48999786376953,82.48999786376953,82.48999786376953,0,0.0,0.0
2007-01-22 00:00:00-05:00,84.43000030517578,84.43000030517578,84.43000030517578,84.43000030517578,0,0.0,0.0
2007-01-23 00:00:00-05:00,81.4800033569336,81.4800033569336,81.4800033569336,81.4800033569336,0,0.0,0.0
2007-01-24 00:00:00-05:00,77.51000213623047,77.51000213623047,77.51000213623047,77.51000213623047,0,0.0,0.0
2007-01-25 00:00:00-05:00,80.44999694824219,80.44999694824219,80.44999694824219,80.44999694824219,0,0.0,0.0
2007-01-26 00:00:00-05:00,81.36000061035156,81.36000061035156,81.36000061035156,81.36000061035156,0,0.0,0.0
2007-01-29 00:00:00-05:00,81.68000030517578,81.68000030517578,81.68000030517578,81.68000030517578,0,0.0,0.0
2007-01-30 00:00:00-05:00,78.9000015258789,78.9000015258789,78.9000015258789,78.9000015258789,0,0.0,0.0
2007-01-31 00:00:00-05:00,77.27999877929688,77.27999877929688,77.27999877929688,77.27999877929688,0,0.0,0.0
2007-02-01 00:00:00-05:00,73.5,73.5,73.5,73.5,0,0.0,0.0
2007-02-02 00:00:00-05:00,72.44000244140625,72.44000244140625,72.44000244140625,72.44000244140625,0,0.0,0.0
2007-02-05 00:00:00-05:00,70.29000091552734,70.29000091552734,70.29000091552734,70.29000091552734,0,0.0,0.0
2007-02-06 00:00:00-05:00,68.55000305175781,68.55000305175781,68.55000305175781,68.55000305175781,0,0.0,0.0
2007-02-07 00:00:00-05:00,70.31999969482422,70.31999969482422,70.31999969482422,70.31999969482422,0,0.0,0.0
2007-02-08 00:00:00-05:00,73.18000030517578,73.18000030517578,73.18000030517578,73.18000030517578,0,0.0,0.0
2007-02-09 00:00:00-05:00,74.38999938964844,74.38999938964844,74.38999938964844,74.38999938964844,0,0.0,0.0
2007-02-12 00:00:00-05:00,79.12000274658203,79.12000274658203,79.12000274658203,79.12000274658203,0,0.0,0.0
2007-02-13 00:00:00-05:00,75.72000122070312,75.72000122070312,75.72000122070312,75.72000122070312,0,0.0,0.0
2007-02-14 00:00:00-05:00,74.0,74.0,74.0,74.0,0,0.0,0.0
2007-02-15 00:00:00-05:00,70.33999633789062,70.33999633789062,70.33999633789062,70.33999633789062,0,0.0,0.0
2007-02-16 00:00:00-05:00,70.73999786376953,70.73999786376953,70.73999786376953,70.73999786376953,0,0.0,0.0
2007-02-20 00:00:00-05:00,65.87000274658203,65.87000274658203,65.87000274658203,65.87000274658203,0,0.0,0.0
2007-02-21 00:00:00-05:00,67.37000274658203,67.37000274658203,67.37000274658203,67.37000274658203,0,0.0,0.0
2007-02-22 00:00:00-05:00,66.05000305175781,66.05000305175781,66.05000305175781,66.05000305175781,0,0.0,0.0
2007-02-23 00:00:00-05:00,70.70999908447266,70.70999908447266,70.70999908447266,70.70999908447266,0,0.0,0.0
2007-02-26 00:00:00-05:00,70.33000183105469,70.33000183105469,70.33000183105469,70.33000183105469,0,0.0,0.0
2007-02-27 00:00:00-05:00,110.41999816894531,110.41999816894531,110.41999816894531,110.41999816894531,0,0.0,0.0
2007-02-28 00:00:00-05:00,91.63999938964844,91.63999938964844,91.63999938964844,91.63999938964844,0,0.0,0.0
2007-03-01 00:00:00-05:00,99.47000122070312,99.47000122070312,99.47000122070312,99.47000122070312,0,0.0,0.0
2007-03-02 00:00:00-05:00,104.16999816894531,104.16999816894531,104.16999816894531,104.16999816894531,0,0.0,0.0
2007-03-05 00:00:00-05:00,101.19999694824219,101.19999694824219,101.19999694824219,101.19999694824219,0,0.0,0.0
2007-03-06 00:00:00-05:00,93.6500015258789,93.6500015258789,93.6500015258789,93.6500015258789,0,0.0,0.0
2007-03-07 00:00:00-05:00,94.41000366210938,94.41000366210938,94.41000366210938,94.41000366210938,0,0.0,0.0
2007-03-08 00:00:00-05:00,93.97000122070312,93.97000122070312,93.97000122070312,93.97000122070312,0,0.0,0.0
2007-03-09 00:00:00-05:00,91.81999969482422,91.81999969482422,91.81999969482422,91.81999969482422,0,0.0,0.0
2007-03-12 00:00:00-04:00,90.0199966430664,90.0199966430664,90.0199966430664,90.0199966430664,0,0.0,0.0
2007-03-13 00:00:00-04:00,94.52999877929688,94.52999877929688,94.52999877929688,94.52999877929688,0,0.0,0.0
2007-03-14 00:00:00-04:00,98.08000183105469,98.08000183105469,98.08000183105469,98.08000183105469,0,0.0,0.0
2007-03-15 00:00:00-04:00,99.55000305175781,99.55000305175781,99.55000305175781,99.55000305175781,0,0.0,0.0
2007-03-16 00:00:00-04:00,102.73999786376953,102.73999786376953,102.73999786376953,102.73999786376953,0,0.0,0.0
2007-03-19 00:00:00-04:00,93.9000015258789,93.9000015258789,93.9000015258789,93.9000015258789,0,0.0,0.0
2007-03-20 00:00:00-04:00,89.55000305175781,89.55000305175781,89.55000305175781,89.55000305175781,0,0.0,0.0
2007-03-21 00:00:00-04:00,94.12999725341797,94.12999725341797,94.12999725341797,94.12999725341797,0,0.0,0.0
2007-03-22 00:00:00-04:00,95.5199966430664,95.5199966430664,95.5199966430664,95.5199966430664,0,0.0,0.0
2007-03-23 00:00:00-04:00,96.37000274658203,96.37000274658203,96.37000274658203,96.37000274658203,0,0.0,0.0
2007-03-26 00:00:00-04:00,95.94999694824219,95.94999694824219,95.94999694824219,95.94999694824219,0,0.0,0.0
2007-03-27 00:00:00-04:00,101.0,101.0,101.0,101.0,0,0.0,0.0
2007-03-28 00:00:00-04:00,104.79000091552734,104.79000091552734,104.79000091552734,104.79000091552734,0,0.0,0.0
2007-03-29 00:00:00-04:00,102.30999755859375,102.30999755859375,102.30999755859375,102.30999755859375,0,0.0,0.0
2007-03-30 00:00:00-04:00,99.77999877929688,99.77999877929688,99.77999877929688,99.77999877929688,0,0.0,0.0
2007-04-02 00:00:00-04:00,98.91999816894531,98.91999816894531,98.91999816894531,98.91999816894531,0,0.0,0.0
2007-04-03 00:00:00-04:00,94.9800033569336,94.9800033569336,94.9800033569336,94.9800033569336,0,0.0,0.0
2007-04-04 00:00:00-04:00,96.12000274658203,96.12000274658203,96.12000274658203,96.12000274658203,0,0.0,0.0
2007-04-05 00:00:00-04:00,93.5999984741211,93.5999984741211,93.5999984741211,93.5999984741211,0,0.0,0.0
2007-04-09 00:00:00-04:00,92.30000305175781,92.30000305175781,92.30000305175781,92.30000305175781,0,0.0,0.0
2007-04-10 00:00:00-04:00,87.37000274658203,87.37000274658203,87.37000274658203,87.37000274658203,0,0.0,0.0
2007-04-11 00:00:00-04:00,93.47000122070312,93.47000122070312,93.47000122070312,93.47000122070312,0,0.0,0.0
2007-04-12 00:00:00-04:00,91.37999725341797,91.37999725341797,91.37999725341797,91.37999725341797,0,0.0,0.0
2007-04-13 00:00:00-04:00,88.70999908447266,88.70999908447266,88.70999908447266,88.70999908447266,0,0.0,0.0
2007-04-16 00:00:00-04:00,83.9800033569336,83.9800033569336,83.9800033569336,83.9800033569336,0,0.0,0.0
2007-04-17 00:00:00-04:00,83.68000030517578,83.68000030517578,83.68000030517578,83.68000030517578,0,0.0,0.0
2007-04-18 00:00:00-04:00,80.58999633789062,80.58999633789062,80.58999633789062,80.58999633789062,0,0.0,0.0
2007-04-19 00:00:00-04:00,77.91000366210938,77.91000366210938,77.91000366210938,77.91000366210938,0,0.0,0.0
2007-04-20 00:00:00-04:00,79.18000030517578,79.18000030517578,79.18000030517578,79.18000030517578,0,0.0,0.0
2007-04-23 00:00:00-04:00,79.33000183105469,79.33000183105469,79.33000183105469,79.33000183105469,0,0.0,0.0
2007-04-24 00:00:00-04:00,77.83000183105469,77.83000183105469,77.83000183105469,77.83000183105469,0,0.0,0.0
2007-04-25 00:00:00-04:00,80.79000091552734,80.79000091552734,80.79000091552734,80.79000091552734,0,0.0,0.0
2007-04-26 00:00:00-04:00,81.66999816894531,81.66999816894531,81.66999816894531,81.66999816894531,0,0.0,0.0
2007-04-27 00:00:00-04:00,80.66000366210938,80.66000366210938,80.66000366210938,80.66000366210938,0,0.0,0.0
2007-04-30 00:00:00-04:00,85.33000183105469,85.33000183105469,85.33000183105469,85.33000183105469,0,0.0,0.0
2007-05-01 00:00:00-04:00,81.27999877929688,81.27999877929688,81.27999877929688,81.27999877929688,0,0.0,0.0
2007-05-02 00:00:00-04:00,82.58999633789062,82.58999633789062,82.58999633789062,82.58999633789062,0,0.0,0.0
2007-05-03 00:00:00-04:00,78.80999755859375,78.80999755859375,78.80999755859375,78.80999755859375,0,0.0,0.0
